Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Experiment (Homopolymer),attn,13,1.3178850446428572,0.45090809688495215,0.07621737931477109,35,6.672943340029035,15.374355616695933,2.5987404126319666,35
Experiment (Homopolymer),attn,14,1.3323102678571428,0.4404963981757626,0.0744574810221665,35,5.306053801945278,9.93355164604129,1.679076687643451,35
Experiment (Homopolymer),attn,15,1.3761439732142857,0.49345952978864094,0.08340988422744061,35,8.051898540769304,19.722922988690083,3.3337824559148586,35
Experiment (Homopolymer),attn,16,1.3618024553571428,0.5106446768905647,0.08631470426570587,35,7.6055783595357624,16.795569151977315,2.8389693458761305,35
Experiment (Homopolymer),attn,17,1.1804408482142856,0.48392496563964693,0.08179824873593976,35,17.91540997028351,54.732833606063735,9.251537439102542,35
Experiment (Homopolymer),mlp,0,1.4360909598214286,0.8245422117503385,0.13937307169281202,35,6.048930311203003,11.95556983738459,2.0208601431539015,35
Experiment (Homopolymer),mlp,1,1.3411830357142858,0.5531298563058124,0.09349601029484605,35,5.580781987735203,14.256424107450524,2.409775498325201,35
Experiment (Homopolymer),mlp,2,1.4047991071428572,0.6137371346708305,0.10374051013038818,35,5.763390564918518,12.25043441585651,2.070701353766756,35
Experiment (Homopolymer),mlp,3,1.4573800223214286,0.688893151728227,0.11644419564728971,35,8.674557825497219,20.07816414846807,3.39382917144307,35
Experiment (Homopolymer),mlp,4,1.4331473214285715,0.618097520575222,0.10447754987025915,35,5.835268909590585,10.209204651512373,1.725670549723969,35
Experiment (Homopolymer),mlp,5,1.4211495535714285,0.5030102902719884,0.08502425739911942,35,8.632706267493111,19.9013965591209,3.363949995396098,35
Experiment (Homopolymer),mlp,6,1.4154854910714285,0.5019114557948343,0.0848385204723976,35,7.602109565053667,18.24007985599096,3.0831362193757332,35
Experiment (Homopolymer),mlp,7,1.3706752232142858,0.43274160875668677,0.07314668236775539,35,7.776504279885973,18.528318809885178,3.131857495028173,35
Experiment (Homopolymer),mlp,8,1.319712611607143,0.4340166833879,0.07336220931768864,35,7.621143456867763,17.193999488328995,2.906316364672237,35
Experiment (Homopolymer),mlp,9,1.405859375,0.5587287190557964,0.09444239082980407,35,7.817368224688939,17.768959007087002,3.003502261387235,35
Experiment (Homopolymer),mlp,10,1.3589425223214286,0.411748157611758,0.06959814145644101,35,8.028074223654611,19.856181037238933,3.356307177256435,35
Experiment (Homopolymer),mlp,11,1.3895786830357142,0.3307565717150945,0.055908064772885964,35,6.734849091938564,15.71233869778784,2.6558699804341828,35
Experiment (Homopolymer),mlp,12,1.4318917410714285,0.3842552332584078,0.06495098905800839,35,6.120910954475403,11.985124720632214,2.0258558302188483,35
Experiment (Homopolymer),mlp,13,1.4561104910714286,0.4815037991602474,0.08138899690564563,35,5.707285193034581,10.9541326039873,1.8515863554240464,35
Experiment (Homopolymer),mlp,14,1.4993861607142858,0.5122860918121469,0.08659215402665588,35,7.009689542225429,15.695711269724647,2.6530594321196226,35
Experiment (Homopolymer),mlp,15,1.3284877232142858,0.2862122131808047,0.048378693945004464,35,7.8164841072899955,16.194998495886814,2.7374543768241333,35
Experiment (Homopolymer),mlp,16,1.56357421875,1.0212048409069996,0.1726151232483817,35,9.404394548279898,20.78236207066994,3.5128603454670486,35
Experiment (Homopolymer),mlp,17,1.55,0.9852340127297602,0.16653494355236126,35,21.98780173914773,66.16443244290896,11.183830318164402,35
