Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Control (Single Error),layer,0,1.7370256696428572,0.9731427826080122,0.26008334863792976,14,9.82864875452859,11.854762357851058,3.168318510335934,14
Control (Single Error),layer,1,1.7608816964285714,1.153978927714295,0.3084138413616903,14,13.84759026340076,22.23853395139762,5.943498202162142,14
Control (Single Error),layer,2,2.0001046316964284,1.927188079596096,0.5150626795516728,14,11.823439257485527,15.777288160350253,4.216657627745398,14
Control (Single Error),layer,3,1.7166573660714286,0.9479380301432969,0.25334709519211474,14,15.941058039665222,26.035876713002242,6.958380744595749,14
Control (Single Error),layer,4,2.0911690848214284,1.6518215935766931,0.4414678905170669,14,20.287115727152145,35.6080510544733,9.516651946899547,14
Control (Single Error),layer,5,1.8093959263392858,1.1588486811639187,0.30971533771644405,14,16.875732204743795,24.246013190930135,6.480019596833011,14
Control (Single Error),layer,6,1.9098074776785714,1.3830702696490995,0.36964107791857,14,20.150688103267125,29.489127215747004,7.881300762594018,14
Control (Single Error),layer,7,1.9149693080357142,1.094121460888377,0.2924162604400637,14,17.055198154279164,21.95291651400964,5.867163731133986,14
Control (Single Error),layer,8,1.824462890625,0.9391443308456243,0.2509968801968143,14,15.238233864307404,20.95476542525416,5.600396631536959,14
Control (Single Error),layer,9,1.84814453125,1.0385188483593315,0.2775558371619757,14,14.74292009643146,20.8488983841752,5.572102474660602,14
Control (Single Error),layer,10,2.0755440848214284,1.4514983460767004,0.3879292506062889,14,12.826142089707512,15.8084576696785,4.224988029518267,14
Control (Single Error),layer,11,2.0463169642857144,1.4352806317224096,0.3835948841269802,14,25.819265416690282,43.780604013498916,11.70085860032379,14
Control (Single Error),layer,12,1.9459402901785714,1.096738073476011,0.29311557956983847,14,24.626667269638606,37.281025784041894,9.963773250812151,14
Control (Single Error),layer,13,1.94580078125,0.9878696362725351,0.2640192658377727,14,23.65471231511661,43.1980743135837,11.54517098927358,14
Control (Single Error),layer,14,2.0355747767857144,0.7211109503539828,0.19272500814825402,14,23.72336489387921,44.7260105823889,11.953529134037494,14
